                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4969,                  3.686,                 4.2417,                  0.004,                 0.7619,                0.00681,                0.00283,                 2.5862,                 3.7407,                 4.1584,              2.142e-05,              2.142e-05,              2.142e-05
                      2,                 3.4031,                 3.6455,                 4.2259,                  0.004,                 0.7619,                0.00646,                0.00315,                 2.5853,                 3.7409,                 4.1581,             4.9931e-05,             4.9931e-05,             4.9931e-05
                      3,                 3.4376,                 3.6313,                 4.2141,                  0.004,                 0.7619,                0.00806,                0.00316,                 2.5848,                 3.7377,                 4.1574,             7.8384e-05,             7.8384e-05,             7.8384e-05
                      4,                 3.3795,                 3.5954,                 4.1969,                  0.004,                 0.7619,                0.00902,                0.00357,                 2.5852,                 3.7322,                 4.1551,             0.00010678,             0.00010678,             0.00010678
                      5,                 3.2611,                 3.5393,                 4.1779,                  0.004,                 0.7619,                0.00805,                0.00319,                 2.5851,                 3.7331,                 4.1524,             0.00013512,             0.00013512,             0.00013512
                      6,                 3.2041,                 3.5056,                 4.1531,                  0.004,                 0.7619,                0.01393,                 0.0047,                 2.5858,                 3.7287,                 4.1482,             0.00016341,             0.00016341,             0.00016341
                      7,                 3.2795,                 3.4578,                  4.137,                  0.004,                 0.7619,                0.00838,                0.00317,                 2.5863,                 3.7306,                 4.1453,             0.00019163,             0.00019163,             0.00019163
                      8,                 3.2281,                 3.2836,                 4.0439,                  0.004,                 0.7619,                0.00889,                0.00328,                 2.5835,                 3.7358,                 4.1487,             0.00021981,             0.00021981,             0.00021981
                      9,                 3.1059,                 3.2922,                 3.9822,                  0.004,                 0.7619,                0.00876,                0.00328,                 2.5792,                 3.7362,                  4.163,             0.00024792,             0.00024792,             0.00024792
                     10,                 3.2297,                 3.1761,                 3.9205,                  0.004,                 0.7619,                0.00813,                0.00301,                 2.5741,                 3.7251,                 4.1816,             0.00027598,             0.00027598,             0.00027598
                     11,                   3.18,                 3.1877,                 3.8257,                  0.004,                 0.7619,                0.01206,                0.00433,                 2.5685,                 3.7262,                 4.1927,             0.00030398,             0.00030398,             0.00030398
                     12,                 3.1541,                 3.1392,                 3.7664,                  0.004,                 0.7619,                0.00783,                0.00309,                 2.5646,                 3.7402,                 4.2125,             0.00033193,             0.00033193,             0.00033193
                     13,                 3.0099,                 3.1067,                 3.6573,                  0.004,                 0.7619,                0.00752,                0.00301,                 2.5587,                 3.7489,                 4.2292,             0.00035981,             0.00035981,             0.00035981
                     14,                 2.9444,                 3.0387,                 3.6127,                  0.004,                 0.7619,                0.00895,                0.00332,                 2.5543,                 3.7555,                 4.2557,             0.00038765,             0.00038765,             0.00038765
                     15,                 2.9144,                 2.9307,                 3.5029,                  0.004,                 0.7619,                0.01024,                0.00346,                 2.5514,                 3.7799,                 4.2979,             0.00041542,             0.00041542,             0.00041542
                     16,                 2.8913,                   2.91,                 3.4445,                  0.004,                 0.7619,                 0.0098,                0.00387,                 2.5558,                 3.7063,                  4.308,             0.00044314,             0.00044314,             0.00044314
                     17,                 2.8789,                 2.9501,                 3.4016,                  0.004,                 0.7619,                0.01892,                0.00673,                 2.5675,                 3.7382,                 4.3218,              0.0004708,              0.0004708,              0.0004708
                     18,                  2.796,                 2.9128,                 3.3137,                  0.004,                 0.7619,                0.01034,                0.00414,                 2.5569,                 3.7275,                 4.2717,             0.00049841,             0.00049841,             0.00049841
                     19,                  2.676,                 2.8852,                 3.2646,                  0.004,                 0.7619,                0.01743,                0.00784,                 2.5614,                  3.713,                  4.226,             0.00052596,             0.00052596,             0.00052596
                     20,                  2.627,                 2.7852,                 3.1548,                  0.004,                 0.7619,                0.01283,                0.00497,                 2.5808,                 3.7304,                 4.3265,             0.00055345,             0.00055345,             0.00055345
                     21,                 2.6148,                 2.7935,                 3.1362,                  0.004,                 0.7619,                0.01816,                0.00842,                 2.6281,                  3.732,                 4.3717,             0.00058089,             0.00058089,             0.00058089
                     22,                 2.6176,                  2.734,                 3.0615,                  0.004,                 0.7619,                0.01224,                0.00475,                 2.5998,                 3.4439,                 4.2923,             0.00060827,             0.00060827,             0.00060827
                     23,                 2.4729,                 2.6611,                 3.0072,                  0.004,                 0.7619,                0.02423,                0.00812,                 2.5869,                  3.403,                  4.088,             0.00063559,             0.00063559,             0.00063559
                     24,                 2.4647,                 2.6107,                 3.0046,                  0.004,                 0.7619,                0.01682,                0.00563,                  2.609,                 3.4202,                 4.0113,             0.00066286,             0.00066286,             0.00066286
                     25,                 2.4029,                 2.6348,                  2.921,                0.00392,                0.74603,                0.02583,                 0.0067,                 2.6681,                 3.3709,                  3.927,             0.00069007,             0.00069007,             0.00069007
                     26,                 2.4152,                 2.5621,                 2.8916,                0.00375,                0.71429,                0.01753,                0.00453,                 2.7401,                 3.4004,                 3.9204,             0.00069633,             0.00069633,             0.00069633
                     27,                 2.3601,                 2.4696,                 2.8093,                0.00342,                0.65079,                 0.0095,                0.00241,                 2.8857,                 3.4388,                 4.0027,             0.00069562,             0.00069562,             0.00069562
                     28,                 2.3001,                 2.5154,                 2.7969,                 0.0035,                0.66667,                0.00866,                0.00225,                 2.7642,                 3.4695,                 3.9341,             0.00069491,             0.00069491,             0.00069491
                     29,                 2.2944,                 2.4293,                 2.7582,                0.00333,                0.63492,                0.00773,                0.00213,                 2.8549,                 3.4552,                 3.9211,             0.00069421,             0.00069421,             0.00069421
                     30,                 2.2658,                 2.4189,                 2.7255,                0.00417,                0.79365,                0.01413,                0.00444,                 2.4936,                 3.5248,                 3.8559,              0.0006935,              0.0006935,              0.0006935
                     31,                 2.2787,                 2.3582,                 2.7021,                0.05223,                0.07937,                0.02437,                0.00719,                 2.4591,                 3.4694,                  3.543,             0.00069279,             0.00069279,             0.00069279
                     32,                 2.1913,                 2.3489,                 2.6247,                0.11489,                0.11111,                0.04501,                0.01236,                   2.38,                 3.3319,                 3.5689,             0.00069209,             0.00069209,             0.00069209
                     33,                 2.1579,                 2.3329,                 2.6126,                0.18312,                 0.2381,                0.10861,                0.03406,                 2.2956,                 3.1692,                 3.2864,             0.00069138,             0.00069138,             0.00069138
                     34,                  2.069,                 2.2315,                 2.5565,                0.29619,                 0.1746,                0.17162,                0.06699,                 2.2649,                 3.0917,                 3.3111,             0.00069067,             0.00069067,             0.00069067
                     35,                 2.1092,                 2.2316,                 2.5654,                0.12767,                0.15873,                0.09505,                0.03491,                 2.1272,                 3.1391,                 3.3502,             0.00068997,             0.00068997,             0.00068997
                     36,                 2.0196,                 2.1836,                  2.491,                0.22827,                0.22222,                  0.191,                0.06135,                 2.0901,                 2.9613,                 3.1898,             0.00068926,             0.00068926,             0.00068926
                     37,                 2.0527,                 2.1738,                 2.4854,                0.13228,                0.19048,                0.16139,                0.06472,                 2.1509,                 2.9266,                 3.1786,             0.00068855,             0.00068855,             0.00068855
                     38,                 1.9486,                 2.0826,                 2.3942,                0.40015,                0.29656,                0.30436,                0.12439,                 2.1164,                 2.7569,                 3.1189,             0.00068785,             0.00068785,             0.00068785
                     39,                 1.8739,                 2.0498,                 2.3797,                0.47302,                0.26984,                0.33027,                0.15713,                 1.9692,                 2.7414,                 3.0036,             0.00068714,             0.00068714,             0.00068714
                     40,                  1.941,                 2.0731,                 2.3708,                0.44099,                0.33333,                0.38292,                0.17781,                 1.9715,                 2.6127,                 2.9241,             0.00068643,             0.00068643,             0.00068643
                     41,                 1.9183,                 2.0452,                 2.4161,                0.44549,                0.34921,                0.33983,                0.16225,                 1.9848,                 2.7824,                 2.9776,             0.00068573,             0.00068573,             0.00068573
                     42,                 1.8532,                 2.0078,                 2.3309,                0.59059,                0.44444,                0.49138,                 0.2259,                 1.9012,                 2.4013,                 2.7285,             0.00068502,             0.00068502,             0.00068502
                     43,                 1.8831,                 2.0204,                 2.3122,                0.62345,                0.39426,                 0.4385,                 0.2283,                 1.9486,                 2.5475,                 2.8056,             0.00068431,             0.00068431,             0.00068431
                     44,                 1.8444,                 1.9763,                 2.3136,                0.67268,                0.45676,                0.50824,                0.24438,                 1.9315,                 2.4003,                 2.6844,             0.00068361,             0.00068361,             0.00068361
                     45,                 1.8318,                  1.889,                 2.2515,                0.48351,                0.31213,                0.34114,                0.17865,                 1.9676,                 2.4485,                 2.7332,              0.0006829,              0.0006829,              0.0006829
                     46,                 1.8161,                 1.8736,                 2.2484,                0.47827,                0.49206,                0.42452,                0.19677,                 1.8926,                 2.3922,                 2.6983,             0.00068219,             0.00068219,             0.00068219
                     47,                 1.8542,                   1.92,                 2.2711,                0.63125,                 0.5873,                0.60178,                0.34092,                 1.6336,                 2.0372,                 2.3931,             0.00068148,             0.00068148,             0.00068148
                     48,                  1.821,                 1.8441,                 2.2114,                 0.6459,                0.52381,                0.59111,                0.30188,                 1.7128,                 2.0797,                 2.5351,             0.00068078,             0.00068078,             0.00068078
                     49,                 1.7087,                 1.7918,                 2.1722,                0.64992,                 0.5305,                0.60406,                0.35417,                 1.6183,                 2.0385,                 2.4322,             0.00068007,             0.00068007,             0.00068007
                     50,                 1.7859,                 1.8483,                 2.1934,                0.75935,                0.53968,                0.65211,                 0.3686,                 1.7024,                 1.9497,                  2.496,             0.00067936,             0.00067936,             0.00067936
                     51,                 1.7045,                 1.7353,                 2.1437,                0.66181,                0.47619,                0.57444,                0.34555,                 1.5707,                 1.9827,                 2.3399,             0.00067866,             0.00067866,             0.00067866
                     52,                 1.6824,                 1.7181,                 2.1173,                0.61694,                 0.5873,                0.63052,                0.36259,                 1.5897,                 2.0447,                 2.4085,             0.00067795,             0.00067795,             0.00067795
                     53,                 1.7002,                  1.729,                 2.1487,                0.85105,                0.39683,                  0.569,                0.29803,                 1.7325,                 1.9998,                 2.5244,             0.00067724,             0.00067724,             0.00067724
                     54,                 1.7193,                 1.6763,                 2.0867,                0.74202,                0.54794,                0.63516,                0.35514,                 1.7026,                 1.8156,                  2.437,             0.00067654,             0.00067654,             0.00067654
                     55,                 1.6675,                 1.6825,                 2.1183,                0.78176,                0.53968,                0.69114,                0.39454,                 1.5667,                 1.7123,                 2.3119,             0.00067583,             0.00067583,             0.00067583
                     56,                 1.7122,                 1.6505,                  2.108,                0.72404,                0.54144,                0.65846,                0.36818,                 1.6052,                 1.7898,                 2.3312,             0.00067512,             0.00067512,             0.00067512
                     57,                  1.665,                 1.6419,                 2.0897,                0.78375,                0.63283,                0.69297,                0.40352,                 1.4378,                  1.587,                 2.0941,             0.00067442,             0.00067442,             0.00067442
                     58,                 1.6367,                 1.6592,                 2.0665,                0.58957,                0.63492,                0.58289,                0.31522,                 1.5982,                 1.8844,                 2.3407,             0.00067371,             0.00067371,             0.00067371
                     59,                 1.7279,                 1.6553,                 2.0924,                0.67549,                0.62783,                 0.6257,                0.37787,                  1.538,                 1.7488,                  2.258,               0.000673,               0.000673,               0.000673
                     60,                 1.6336,                 1.6234,                 2.0586,                0.71907,                0.55556,                0.61558,                0.35126,                  1.574,                 1.8354,                 2.2812,              0.0006723,              0.0006723,              0.0006723
                     61,                 1.6001,                 1.6506,                 2.0467,                0.73769,                0.66667,                0.72611,                0.44607,                 1.3965,                 1.5561,                 2.0816,             0.00067159,             0.00067159,             0.00067159
                     62,                 1.7082,                 1.6564,                   2.07,                0.65604,                0.65079,                0.62587,                0.35945,                 1.5631,                 1.8018,                 2.2071,             0.00067088,             0.00067088,             0.00067088
                     63,                 1.6168,                 1.6115,                   2.04,                0.82798,                0.61129,                0.71589,                0.45126,                 1.4382,                 1.5497,                 2.1326,             0.00067017,             0.00067017,             0.00067017
                     64,                 1.6086,                 1.5815,                 2.0276,                0.86295,                0.65079,                0.71502,                0.45251,                  1.467,                 1.6236,                 2.1675,             0.00066947,             0.00066947,             0.00066947
                     65,                 1.5382,                 1.5046,                 1.9674,                0.68967,                0.61905,                0.71846,                0.45236,                 1.4323,                 1.5693,                 2.0653,             0.00066876,             0.00066876,             0.00066876
                     66,                  1.633,                 1.6206,                 2.0476,                0.81158,                0.68371,                0.73861,                0.45434,                 1.4228,                 1.3793,                 2.0653,             0.00066805,             0.00066805,             0.00066805
                     67,                 1.6246,                 1.5221,                  2.004,                0.65517,                0.66352,                0.71154,                0.44625,                 1.4186,                 1.5124,                 2.0886,             0.00066735,             0.00066735,             0.00066735
                     68,                 1.5985,                  1.548,                 1.9587,                0.58843,                0.55556,                0.57882,                0.33136,                  1.685,                    1.8,                 2.3563,             0.00066664,             0.00066664,             0.00066664
                     69,                 1.6477,                  1.587,                 2.0331,                0.75685,                0.64238,                0.73567,                0.46928,                 1.3785,                 1.4327,                 2.0547,             0.00066593,             0.00066593,             0.00066593
                     70,                 1.5706,                 1.5327,                 1.9769,                0.77487,                0.68254,                0.77265,                0.45578,                 1.4035,                 1.4897,                 2.0857,             0.00066523,             0.00066523,             0.00066523
                     71,                 1.6238,                 1.5252,                 2.0052,                0.69225,                0.64276,                0.69924,                0.42185,                 1.4675,                 1.6143,                 2.0722,             0.00066452,             0.00066452,             0.00066452
                     72,                 1.5551,                 1.4936,                  1.981,                0.62433,                0.63312,                0.66813,                0.40142,                 1.4737,                 1.4982,                 2.1027,             0.00066381,             0.00066381,             0.00066381
                     73,                 1.5008,                 1.4681,                 1.9425,                0.63756,                0.73016,                0.70725,                 0.4528,                 1.4518,                 1.4899,                 2.0908,             0.00066311,             0.00066311,             0.00066311
                     74,                 1.5233,                 1.4314,                 1.8642,                0.77802,                0.65079,                0.71876,                0.46451,                 1.3915,                  1.465,                 2.0243,              0.0006624,              0.0006624,              0.0006624
                     75,                 1.5497,                 1.5157,                 1.9677,                0.75716,                0.74603,                0.80188,                0.46305,                 1.4668,                 1.3446,                 2.0519,             0.00066169,             0.00066169,             0.00066169
                     76,                  1.462,                 1.4468,                 1.9113,                0.87849,                 0.6886,                0.79836,                0.47961,                 1.3675,                 1.3824,                 2.0204,             0.00066099,             0.00066099,             0.00066099
                     77,                 1.6248,                 1.4651,                 1.9745,                0.83862,                0.65996,                0.77014,                 0.4447,                 1.4916,                 1.5167,                 2.1457,             0.00066028,             0.00066028,             0.00066028
                     78,                 1.5263,                 1.4512,                 1.9181,                0.67904,                0.53735,                 0.6529,                0.37778,                 1.4432,                 1.7558,                 2.0521,             0.00065957,             0.00065957,             0.00065957
                     79,                 1.4635,                 1.3879,                  1.874,                0.75949,                0.77778,                0.76682,                0.47855,                 1.3765,                 1.4403,                 1.9878,             0.00065886,             0.00065886,             0.00065886
                     80,                 1.5687,                  1.445,                 1.9419,                0.73838,                0.74603,                0.77526,                0.50499,                 1.3462,                 1.3734,                 1.9819,             0.00065816,             0.00065816,             0.00065816
                     81,                 1.5044,                 1.4684,                 1.8809,                0.53739,                0.50794,                0.53027,                0.26796,                 1.8347,                 2.1023,                 2.4496,             0.00065745,             0.00065745,             0.00065745
                     82,                 1.6114,                 1.4955,                 1.9629,                0.75819,                0.73016,                0.78852,                 0.4759,                 1.3908,                 1.4231,                 2.0044,             0.00065674,             0.00065674,             0.00065674
                     83,                 1.5316,                 1.4372,                 1.8817,                0.80132,                0.71429,                0.75641,                0.49455,                 1.3737,                 1.3979,                 1.9768,             0.00065604,             0.00065604,             0.00065604
                     84,                 1.4787,                 1.4025,                 1.8657,                0.78167,                0.68254,                 0.7561,                0.48902,                 1.3565,                 1.4027,                 1.9883,             0.00065533,             0.00065533,             0.00065533
                     85,                 1.4891,                 1.4028,                 1.8939,                0.70856,                 0.7619,                0.77353,                0.49956,                 1.3329,                 1.3364,                 1.9334,             0.00065462,             0.00065462,             0.00065462
                     86,                 1.5517,                 1.4741,                 1.9268,                0.76808,                0.60317,                0.74285,                 0.4677,                 1.3168,                 1.4896,                  1.952,             0.00065392,             0.00065392,             0.00065392
                     87,                 1.4721,                 1.3168,                 1.8124,                0.85033,                0.65079,                0.78202,                0.50995,                  1.308,                 1.3946,                 1.9165,             0.00065321,             0.00065321,             0.00065321
                     88,                 1.3924,                 1.3287,                 1.7969,                0.71627,                0.74603,                0.76909,                0.49915,                 1.3291,                 1.3023,                  1.929,              0.0006525,              0.0006525,              0.0006525
                     89,                 1.4421,                 1.3352,                  1.814,                0.88515,                0.73406,                 0.7856,                0.51452,                 1.2902,                 1.3213,                 1.9284,              0.0006518,              0.0006518,              0.0006518
                     90,                 1.3975,                 1.3138,                 1.7978,                0.88353,                0.71429,                0.80509,                0.48939,                 1.4955,                 1.4335,                 2.1041,             0.00065109,             0.00065109,             0.00065109
                     91,                 1.5717,                 1.4101,                 1.8855,                0.73344,                0.74252,                0.77973,                 0.4974,                 1.3041,                 1.3563,                 1.8903,             0.00065038,             0.00065038,             0.00065038
                     92,                  1.422,                  1.294,                 1.7896,                0.74807,                0.80131,                0.79918,                0.53266,                 1.2303,                 1.2963,                 1.8219,             0.00064968,             0.00064968,             0.00064968
                     93,                  1.442,                 1.3347,                 1.8449,                0.90105,                0.72279,                0.83456,                0.54899,                 1.2782,                 1.2617,                 1.8593,             0.00064897,             0.00064897,             0.00064897
                     94,                 1.4515,                  1.387,                   1.86,                0.81285,                0.75842,                0.80077,                0.54195,                 1.2126,                 1.1945,                 1.8502,             0.00064826,             0.00064826,             0.00064826
                     95,                 1.4029,                 1.3435,                 1.8201,                0.89086,                0.73016,                0.81117,                0.54547,                 1.2674,                 1.2304,                 1.8747,             0.00064756,             0.00064756,             0.00064756
                     96,                 1.5205,                 1.3944,                 1.8756,                0.78104,                 0.7361,                0.76838,                0.51108,                 1.3563,                 1.3875,                 1.9558,             0.00064685,             0.00064685,             0.00064685
                     97,                 1.4878,                 1.3525,                 1.8629,                0.83092,                0.74603,                0.81268,                0.52007,                 1.3477,                 1.3652,                 1.9405,             0.00064614,             0.00064614,             0.00064614
                     98,                 1.4205,                 1.2936,                  1.789,                0.77571,                 0.7686,                0.78949,                0.50481,                 1.3694,                 1.2883,                 1.9468,             0.00064543,             0.00064543,             0.00064543
                     99,                 1.4405,                 1.2809,                 1.7945,                0.81604,                0.70419,                0.81077,                 0.5134,                 1.2587,                 1.2394,                 1.8736,             0.00064473,             0.00064473,             0.00064473
                    100,                 1.4055,                 1.2432,                 1.8081,                0.82653,                0.68254,                0.74478,                0.48583,                 1.3159,                 1.3357,                 1.8993,             0.00064402,             0.00064402,             0.00064402
                    101,                 1.4162,                 1.2968,                 1.7893,                0.75635,                 0.7619,                0.78718,                0.53035,                 1.2297,                 1.2701,                 1.8274,             0.00064331,             0.00064331,             0.00064331
                    102,                 1.3609,                 1.2755,                 1.7767,                0.79865,                 0.7556,                0.79898,                0.56838,                 1.2344,                 1.2088,                 1.8194,             0.00064261,             0.00064261,             0.00064261
                    103,                 1.3608,                 1.2068,                 1.7341,                0.76436,                0.77239,                  0.779,                0.54008,                  1.292,                 1.2767,                 1.8775,              0.0006419,              0.0006419,              0.0006419
                    104,                 1.4542,                 1.2594,                 1.7672,                0.77902,                 0.7275,                0.75765,                0.51411,                 1.2523,                 1.2301,                 1.8346,             0.00064119,             0.00064119,             0.00064119
                    105,                 1.4852,                 1.2641,                 1.8024,                 0.7859,                0.61905,                0.74975,                0.49904,                 1.3787,                 1.3392,                 1.9423,             0.00064049,             0.00064049,             0.00064049
                    106,                 1.3718,                 1.2508,                 1.7686,                0.79616,                0.80952,                0.82209,                0.52303,                  1.367,                 1.2869,                  1.983,             0.00063978,             0.00063978,             0.00063978
                    107,                 1.3877,                 1.2279,                 1.7722,                0.81067,                0.68254,                0.78122,                0.54961,                 1.1882,                 1.2677,                 1.8427,             0.00063907,             0.00063907,             0.00063907
                    108,                 1.4212,                 1.2573,                 1.7823,                0.84821,                0.70966,                0.77547,                0.51146,                 1.3393,                 1.2942,                 1.9393,             0.00063837,             0.00063837,             0.00063837
                    109,                 1.4186,                 1.2761,                 1.7561,                0.72525,                0.63492,                0.66725,                  0.441,                 1.3853,                 1.5042,                 1.9966,             0.00063766,             0.00063766,             0.00063766
                    110,                 1.3659,                 1.2385,                 1.7318,                0.69639,                0.74603,                0.74454,                0.49818,                   1.27,                 1.2656,                 1.8583,             0.00063695,             0.00063695,             0.00063695
                    111,                 1.2887,                 1.1813,                 1.7029,                0.83987,                 0.7619,                0.81326,                0.57575,                 1.2212,                 1.1357,                 1.7963,             0.00063625,             0.00063625,             0.00063625
                    112,                 1.2969,                 1.2128,                 1.7089,                0.86963,                0.66667,                0.76507,                0.49311,                 1.3429,                 1.2027,                 1.9309,             0.00063554,             0.00063554,             0.00063554
                    113,                 1.2989,                 1.1867,                 1.7085,                0.72683,                0.69841,                0.72817,                0.44236,                 1.4249,                 1.3208,                 2.0796,             0.00063483,             0.00063483,             0.00063483
                    114,                 1.4048,                  1.255,                 1.7692,                 0.7954,                0.69841,                0.76404,                0.49257,                 1.2991,                 1.4472,                 1.8817,             0.00063412,             0.00063412,             0.00063412
                    115,                 1.3655,                 1.2304,                 1.7513,                0.80042,                0.76394,                0.78096,                 0.5241,                 1.2572,                 1.2698,                 1.8545,             0.00063342,             0.00063342,             0.00063342
                    116,                 1.3631,                 1.1999,                   1.74,                0.70314,                0.60158,                0.66827,                0.42715,                 1.2887,                 1.6173,                 1.9363,             0.00063271,             0.00063271,             0.00063271
                    117,                 1.3297,                 1.1891,                 1.7328,                0.81452,                0.80952,                0.79912,                0.55034,                 1.2458,                 1.1958,                 1.7942,               0.000632,               0.000632,               0.000632
                    118,                 1.3557,                 1.2243,                 1.7393,                0.84067,                 0.7538,                0.80225,                0.52504,                 1.2144,                 1.2195,                 1.8105,              0.0006313,              0.0006313,              0.0006313
                    119,                 1.3005,                  1.184,                 1.7041,                0.81502,                0.77778,                0.78815,                0.50073,                 1.3694,                 1.2731,                 1.9162,             0.00063059,             0.00063059,             0.00063059
                    120,                 1.3412,                 1.2253,                 1.7355,                0.83746,                0.73611,                0.79717,                0.52406,                 1.3751,                 1.2275,                 1.9799,             0.00062988,             0.00062988,             0.00062988
                    121,                 1.3592,                 1.1869,                 1.7357,                0.81039,                 0.7619,                0.77898,                0.52922,                 1.2656,                 1.2145,                 1.8502,             0.00062918,             0.00062918,             0.00062918
                    122,                 1.3017,                 1.1739,                  1.697,                0.85383,                 0.7619,                0.80562,                0.52206,                 1.2555,                  1.159,                 1.8048,             0.00062847,             0.00062847,             0.00062847
                    123,                 1.3706,                 1.1661,                  1.744,                0.85107,                0.72571,                0.79384,                0.55371,                 1.2571,                 1.1698,                 1.8473,             0.00062776,             0.00062776,             0.00062776
                    124,                 1.3119,                 1.1707,                 1.6766,                0.84091,                0.75519,                0.81851,                0.52199,                 1.2781,                 1.1653,                 1.8544,             0.00062706,             0.00062706,             0.00062706
                    125,                 1.3253,                 1.1477,                 1.7133,                 0.8112,                0.75024,                 0.8434,                0.57804,                 1.1897,                  1.131,                 1.7874,             0.00062635,             0.00062635,             0.00062635
                    126,                 1.3896,                 1.1733,                 1.7385,                0.88958,                0.76731,                 0.8235,                0.57342,                 1.2262,                 1.0842,                 1.8187,             0.00062564,             0.00062564,             0.00062564
                    127,                 1.3786,                 1.1767,                  1.743,                0.89024,                 0.7725,                0.84531,                0.57487,                 1.2876,                 1.0762,                 1.8664,             0.00062494,             0.00062494,             0.00062494
                    128,                  1.266,                 1.1058,                 1.6325,                0.85395,                0.77778,                0.82899,                0.54189,                 1.2945,                 1.2555,                 1.8838,             0.00062423,             0.00062423,             0.00062423
                    129,                 1.2697,                 1.1329,                 1.6574,                0.93781,                0.71816,                 0.8378,                0.58058,                 1.2263,                 1.0442,                 1.8228,             0.00062352,             0.00062352,             0.00062352
                    130,                  1.247,                 1.0933,                 1.6662,                 0.8971,                0.74603,                0.83045,                0.59285,                 1.1985,                 1.0834,                 1.7853,             0.00062282,             0.00062282,             0.00062282
                    131,                 1.2845,                 1.1073,                 1.6547,                 0.7589,                 0.7619,                 0.7847,                0.54117,                 1.2116,                 1.1448,                 1.8148,             0.00062211,             0.00062211,             0.00062211
                    132,                 1.2942,                 1.0626,                 1.6537,                0.74162,                0.74603,                0.77037,                0.51053,                  1.295,                 1.2789,                 1.8586,              0.0006214,              0.0006214,              0.0006214
                    133,                  1.316,                 1.1394,                 1.6719,                0.72717,                0.69841,                0.79213,                0.50238,                 1.3084,                 1.2143,                  1.885,             0.00062069,             0.00062069,             0.00062069
                    134,                 1.2642,                 1.1324,                 1.6636,                0.86506,                 0.7619,                0.81331,                 0.5171,                 1.2915,                 1.1543,                 1.8897,             0.00061999,             0.00061999,             0.00061999
                    135,                 1.3698,                 1.1381,                 1.6991,                0.85691,                0.61905,                 0.7222,                0.48678,                 1.2266,                 1.3518,                 1.8048,             0.00061928,             0.00061928,             0.00061928
                    136,                 1.2103,                 1.0595,                 1.5932,                0.84873,                0.80158,                0.81741,                0.58075,                 1.1344,                 1.0964,                 1.7514,             0.00061857,             0.00061857,             0.00061857
                    137,                  1.322,                  1.173,                 1.6905,                0.93709,                0.71429,                 0.8137,                0.56094,                 1.1979,                 1.1777,                 1.7644,             0.00061787,             0.00061787,             0.00061787
                    138,                 1.2346,                 1.0921,                 1.6442,                0.82341,                0.71429,                0.82835,                0.53554,                 1.3298,                 1.0961,                 1.8897,             0.00061716,             0.00061716,             0.00061716
                    139,                 1.2595,                 1.0797,                  1.657,                0.82336,                0.73993,                0.79604,                0.50476,                 1.2813,                 1.1775,                 1.8972,             0.00061645,             0.00061645,             0.00061645
                    140,                 1.2782,                 1.1008,                 1.6645,                0.77753,                0.68254,                0.80803,                0.55756,                 1.1723,                 1.0546,                 1.7508,             0.00061575,             0.00061575,             0.00061575
                    141,                 1.2835,                  1.111,                 1.6615,                0.86496,                0.71173,                0.79786,                0.54582,                 1.2534,                 1.0529,                 1.8543,             0.00061504,             0.00061504,             0.00061504
                    142,                 1.1845,                 1.0609,                 1.6026,                 0.8544,                0.71429,                0.79573,                 0.5394,                 1.2102,                 1.1409,                 1.7981,             0.00061433,             0.00061433,             0.00061433
                    143,                 1.2337,                 1.0715,                 1.6323,                0.80673,                0.69841,                0.77849,                0.48622,                 1.3321,                 1.2817,                 1.9177,             0.00061363,             0.00061363,             0.00061363
                    144,                 1.2687,                 1.1129,                 1.6505,                 0.8872,                0.74909,                0.80482,                0.53705,                 1.2222,                 1.1334,                 1.7779,             0.00061292,             0.00061292,             0.00061292
                    145,                 1.2503,                 1.1103,                 1.6357,                0.88979,                  0.769,                0.83056,                0.57888,                 1.1991,                 1.0917,                 1.7957,             0.00061221,             0.00061221,             0.00061221
                    146,                  1.212,                 1.0814,                 1.6202,                0.80831,                0.80952,                0.84467,                0.57713,                 1.2268,                 1.0904,                 1.8109,             0.00061151,             0.00061151,             0.00061151
