                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2963,                 3.6652,                 4.2264,                  0.004,                 0.7619,                0.00753,                0.00332,                 2.5862,                 3.7407,                 4.1586,              2.142e-05,              2.142e-05,              2.142e-05
                      2,                 3.2377,                 3.6306,                 4.2258,                  0.004,                 0.7619,                0.00646,                0.00315,                 2.5855,                 3.7409,                 4.1585,             4.9881e-05,             4.9881e-05,             4.9881e-05
                      3,                 3.3211,                 3.6642,                 4.2229,                  0.004,                 0.7619,                0.00805,                 0.0032,                 2.5853,                 3.7377,                 4.1577,             7.8229e-05,             7.8229e-05,             7.8229e-05
                      4,                 3.3572,                 3.5706,                 4.1956,                  0.004,                 0.7619,                0.00821,                0.00395,                 2.5849,                 3.7319,                 4.1556,             0.00010646,             0.00010646,             0.00010646
                      5,                 3.1744,                 3.5579,                 4.1923,                  0.004,                 0.7619,                0.00934,                0.00343,                 2.5853,                 3.7304,                 4.1528,             0.00013459,             0.00013459,             0.00013459
                      6,                 3.3396,                 3.5335,                 4.1611,                  0.004,                 0.7619,                0.01128,                0.00397,                 2.5841,                 3.7277,                 4.1475,             0.00016259,             0.00016259,             0.00016259
                      7,                 3.2901,                 3.4531,                 4.1328,                  0.004,                 0.7619,                0.01054,                0.00378,                 2.5839,                 3.7256,                 4.1422,             0.00019049,             0.00019049,             0.00019049
                      8,                 3.2096,                 3.3952,                 4.0859,                  0.004,                 0.7619,                0.00903,                 0.0033,                 2.5846,                 3.7338,                 4.1403,             0.00021827,             0.00021827,             0.00021827
                      9,                 3.0685,                 3.2732,                 3.9903,                  0.004,                 0.7619,                 0.0133,                0.00516,                 2.5818,                  3.733,                 4.1475,             0.00024594,             0.00024594,             0.00024594
                     10,                 3.1464,                 3.2139,                 3.9457,                  0.004,                 0.7619,                0.01174,                0.00443,                 2.5815,                 3.7362,                 4.1644,              0.0002735,              0.0002735,              0.0002735
                     11,                 3.1617,                 3.1772,                 3.8607,                  0.004,                 0.7619,                0.00841,                 0.0032,                 2.5798,                 3.7312,                  4.181,             0.00030094,             0.00030094,             0.00030094
                     12,                 3.0661,                 3.1765,                 3.7795,                  0.004,                 0.7619,                0.00712,                 0.0029,                 2.5765,                 3.7398,                 4.2134,             0.00032827,             0.00032827,             0.00032827
