                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9513,                 3.6285,                 4.2522,                0.00987,                0.47619,                0.02818,                0.01607,                 2.9402,                   3.58,                 4.1589,                      0,                      0,                      0
                      2,                 3.8024,                 3.6084,                 4.2528,                0.00987,                0.47619,                0.02818,                0.01607,                 2.9403,                 3.5766,                 4.1586,             7.1259e-06,             7.1259e-06,             7.1259e-06
                      3,                 3.9137,                 3.6174,                 4.2475,                0.00987,                0.47619,                0.02818,                0.01607,                 2.9403,                 3.5766,                 4.1585,             1.4223e-05,             1.4223e-05,             1.4223e-05
                      4,                 3.7384,                 3.6373,                  4.251,                0.01096,                0.50794,                0.03569,                0.01577,                 2.9409,                 3.5767,                 4.1588,             2.1293e-05,             2.1293e-05,             2.1293e-05
                      5,                 3.9464,                 3.6016,                 4.2497,                0.00987,                0.47619,                0.02818,                 0.0159,                 2.9418,                 3.5768,                 4.1588,             2.8334e-05,             2.8334e-05,             2.8334e-05
                      6,                 3.6343,                 3.6199,                 4.2389,                0.00987,                0.47619,                0.02818,                0.01607,                 2.9418,                 3.5768,                 4.1586,             3.5347e-05,             3.5347e-05,             3.5347e-05
                      7,                 3.7621,                 3.6197,                 4.2538,                0.00987,                0.47619,                0.02818,                0.01607,                 2.9418,                 3.5769,                  4.159,             4.2331e-05,             4.2331e-05,             4.2331e-05
                      8,                 3.7274,                 3.6238,                 4.2732,                0.00987,                0.47619,                0.02818,                0.01607,                 2.9418,                 3.5769,                 4.1586,             4.9287e-05,             4.9287e-05,             4.9287e-05
                      9,                 3.8495,                 3.6303,                 4.2386,                0.01033,                0.49206,                0.02813,                0.01616,                 2.9415,                 3.5767,                 4.1587,             5.6215e-05,             5.6215e-05,             5.6215e-05
                     10,                  3.916,                 3.6294,                 4.2289,                0.00987,                0.47619,                0.02911,                0.01597,                 2.9416,                 3.5765,                 4.1586,             6.3115e-05,             6.3115e-05,             6.3115e-05
                     11,                 3.8388,                 3.6212,                 4.2274,                0.01042,                0.47619,                0.03131,                0.01412,                 2.9418,                 3.5748,                 4.1584,             6.9986e-05,             6.9986e-05,             6.9986e-05
                     12,                 3.8241,                 3.5943,                 4.2428,                0.01103,                0.47619,                0.03446,                0.01448,                 2.9416,                 3.5746,                 4.1582,             7.6829e-05,             7.6829e-05,             7.6829e-05
                     13,                 3.7783,                 3.5832,                 4.2212,                0.01092,                0.49206,                0.03684,                0.01651,                 2.9411,                 3.5724,                  4.158,             8.3644e-05,             8.3644e-05,             8.3644e-05
                     14,                 3.6803,                 3.5585,                 4.2308,                0.01071,                0.47619,                0.03465,                 0.0154,                  2.941,                 3.5722,                 4.1578,             9.0431e-05,             9.0431e-05,             9.0431e-05
                     15,                 3.7681,                 3.5434,                 4.2243,                0.01087,                0.47619,                 0.0334,                0.01445,                 2.9404,                 3.5718,                 4.1571,             9.7189e-05,             9.7189e-05,             9.7189e-05
                     16,                 3.6832,                 3.5206,                 4.2168,                0.01154,                0.47619,                0.03447,                0.01608,                 2.9392,                 3.5724,                 4.1569,             0.00010392,             0.00010392,             0.00010392
                     17,                 3.7912,                 3.5303,                 4.2107,                 0.0127,                0.50794,                 0.0362,                0.01595,                 2.9396,                 3.5727,                 4.1562,             0.00011062,             0.00011062,             0.00011062
                     18,                 3.7346,                  3.488,                 4.2016,                0.01176,                0.50794,                 0.0306,                 0.0133,                 2.9393,                 3.5696,                 4.1557,             0.00011729,             0.00011729,             0.00011729
                     19,                 3.6952,                  3.447,                 4.1952,                0.01087,                0.47619,                0.10034,                0.03582,                 2.9388,                 3.5683,                  4.155,             0.00012394,             0.00012394,             0.00012394
                     20,                  3.613,                 3.4414,                 4.1877,                0.01092,                0.49206,                0.05637,                0.02315,                 2.9373,                 3.5681,                 4.1541,             0.00013056,             0.00013056,             0.00013056
                     21,                 3.7436,                 3.3867,                 4.1767,                 0.0116,                0.50794,                 0.0587,                0.02534,                 2.9375,                 3.5688,                 4.1536,             0.00013715,             0.00013715,             0.00013715
                     22,                 3.5355,                 3.3739,                 4.1745,                 0.0114,                0.49206,                0.06476,                0.02462,                 2.9367,                 3.5692,                 4.1523,             0.00014371,             0.00014371,             0.00014371
                     23,                 3.5828,                  3.279,                 4.1604,                0.01071,                0.47619,                0.05842,                0.02368,                 2.9355,                 3.5704,                 4.1512,             0.00015024,             0.00015024,             0.00015024
                     24,                 3.7517,                  3.151,                 4.1486,                0.01071,                0.47619,                0.05238,                0.02095,                 2.9339,                 3.5711,                 4.1494,             0.00015674,             0.00015674,             0.00015674
                     25,                 3.7068,                 3.1587,                  4.137,                0.01071,                0.47619,                0.06084,                0.02353,                 2.9317,                 3.5694,                 4.1488,             0.00016322,             0.00016322,             0.00016322
                     26,                 3.6369,                 3.1148,                 4.1163,                0.01062,                0.47619,                0.06438,                0.02788,                 2.9323,                 3.5705,                 4.1473,             0.00016966,             0.00016966,             0.00016966
                     27,                 3.6279,                 3.0429,                 4.1202,                0.01071,                0.47619,                0.05452,                0.02144,                 2.9307,                 3.5714,                 4.1461,             0.00017608,             0.00017608,             0.00017608
                     28,                 3.5741,                 2.9842,                 4.1232,                0.01056,                0.47619,                0.05242,                0.02268,                 2.9288,                 3.5762,                 4.1447,             0.00018247,             0.00018247,             0.00018247
