                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9046,                 3.8048,                 4.2441,                  0.004,                 0.7619,                0.00646,                0.00315,                 2.5856,                 3.7408,                 4.1585,              1.428e-05,              1.428e-05,              1.428e-05
                      2,                 2.9046,                 3.8048,                 4.2441,                  0.004,                 0.7619,                0.00646,                0.00315,                 2.5853,                 3.7409,                 4.1585,             3.5629e-05,             3.5629e-05,             3.5629e-05
                      3,                 2.9046,                 3.8048,                 4.2441,                  0.004,                 0.7619,                0.00691,                0.00285,                 2.5845,                 3.7411,                 4.1584,             5.6894e-05,             5.6894e-05,             5.6894e-05
                      4,                 2.8975,                 3.7333,                 4.2145,                  0.004,                 0.7619,                 0.0095,                0.00353,                 2.5853,                 3.7376,                 4.1584,             7.8073e-05,             7.8073e-05,             7.8073e-05
                      5,                 2.9256,                 3.7364,                 4.1783,                  0.004,                 0.7619,                 0.0091,                0.00306,                 2.5853,                 3.7372,                 4.1582,             9.9168e-05,             9.9168e-05,             9.9168e-05
                      6,                  2.761,                 3.7318,                 4.1382,                  0.004,                 0.7619,                0.00721,                0.00275,                 2.5853,                 3.7384,                 4.1586,             0.00012018,             0.00012018,             0.00012018
                      7,                 2.8468,                 3.6309,                 4.0907,                  0.004,                 0.7619,                0.00716,                0.00275,                 2.5854,                   3.74,                 4.1597,              0.0001411,              0.0001411,              0.0001411
                      8,                 2.8882,                 3.5494,                 4.0715,                  0.004,                 0.7619,                0.00713,                0.00291,                 2.5833,                 3.7252,                 4.1615,             0.00016194,             0.00016194,             0.00016194
                      9,                 2.7523,                 3.4776,                 4.0114,                  0.004,                 0.7619,                0.00703,                 0.0028,                 2.5831,                 3.7199,                 4.1645,              0.0001827,              0.0001827,              0.0001827
                     10,                 2.5936,                 3.4462,                 3.9262,                  0.004,                 0.7619,                 0.0092,                0.00347,                 2.5834,                 3.7384,                 4.1688,             0.00020337,             0.00020337,             0.00020337
                     11,                 2.4782,                 3.3458,                 3.8372,                  0.004,                 0.7619,                0.00874,                0.00314,                 2.5822,                  3.725,                 4.1752,             0.00022396,             0.00022396,             0.00022396
                     12,                 2.4767,                 3.2325,                 3.7852,                  0.004,                 0.7619,                0.00876,                0.00317,                 2.5809,                 3.7353,                 4.1844,             0.00024446,             0.00024446,             0.00024446
                     13,                 2.4868,                 3.0598,                 3.7186,                  0.004,                 0.7619,                0.00817,                0.00308,                 2.5819,                 3.7381,                 4.1916,             0.00026487,             0.00026487,             0.00026487
                     14,                 2.3721,                 2.9714,                  3.589,                  0.004,                 0.7619,                0.00814,                 0.0031,                  2.582,                  3.751,                 4.1972,              0.0002852,              0.0002852,              0.0002852
                     15,                 2.2195,                 2.8128,                 3.4672,                  0.004,                 0.7619,                0.00804,                0.00319,                 2.5815,                 3.7573,                 4.2011,             0.00030545,             0.00030545,             0.00030545
                     16,                 2.1928,                 2.8058,                 3.3891,                  0.004,                 0.7619,                0.00729,                0.00286,                 2.5795,                 3.7578,                 4.2142,             0.00032561,             0.00032561,             0.00032561
                     17,                 2.1763,                 2.7054,                 3.2821,                  0.004,                 0.7619,                0.01203,                0.00363,                 2.5805,                 3.7607,                 4.2187,             0.00034569,             0.00034569,             0.00034569
                     18,                 1.9109,                 2.7427,                  3.122,                  0.004,                 0.7619,                0.00766,                0.00285,                 2.5813,                 3.7746,                 4.2196,             0.00036568,             0.00036568,             0.00036568
                     19,                 1.9588,                 2.6205,                  3.115,                  0.004,                 0.7619,                0.00805,                0.00304,                 2.5823,                  3.769,                 4.2292,             0.00038559,             0.00038559,             0.00038559
                     20,                 1.8914,                 2.4901,                 3.0147,                  0.004,                 0.7619,                0.00728,                0.00275,                 2.5844,                 3.6961,                 4.2321,             0.00040541,             0.00040541,             0.00040541
                     21,                 1.9232,                 2.3694,                 2.9067,                  0.004,                 0.7619,                0.00795,                0.00323,                 2.5831,                 3.6989,                 4.2409,             0.00042515,             0.00042515,             0.00042515
                     22,                 1.8992,                 2.4282,                 2.8793,                  0.004,                 0.7619,                0.00838,                0.00357,                  2.584,                 3.7199,                 4.2491,              0.0004448,              0.0004448,              0.0004448
                     23,                 1.7824,                 2.2544,                 2.7598,                  0.004,                 0.7619,                0.01057,                0.00373,                 2.5822,                 3.7251,                 4.2411,             0.00046437,             0.00046437,             0.00046437
                     24,                 1.7459,                 2.1476,                  2.631,                  0.004,                 0.7619,                0.01277,                0.00744,                 2.5879,                 3.7287,                 4.2099,             0.00048385,             0.00048385,             0.00048385
                     25,                 1.7393,                 2.1881,                 2.6314,                  0.004,                 0.7619,                 0.0086,                0.00375,                 2.5827,                 3.7287,                 4.2049,             0.00050325,             0.00050325,             0.00050325
