                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2591,                 3.6809,                 4.2134,                  0.004,                 0.7619,                0.00646,                0.00315,                 2.5855,                 3.7407,                  4.159,               3.57e-05,               3.57e-05,               3.57e-05
                      2,                 3.2464,                 3.6624,                 4.2172,                  0.004,                 0.7619,                0.00681,                0.00283,                 2.5856,                 3.7386,                 4.1577,             7.8384e-05,             7.8384e-05,             7.8384e-05
                      3,                 3.2674,                 3.5957,                 4.1979,                  0.004,                 0.7619,                0.01085,                0.00399,                 2.5853,                 3.7325,                 4.1532,              0.0001209,              0.0001209,              0.0001209
                      4,                 3.2272,                 3.5158,                 4.1556,                  0.004,                 0.7619,                0.01076,                0.00386,                 2.5852,                  3.729,                 4.1456,             0.00016324,             0.00016324,             0.00016324
                      5,                  3.367,                 3.3678,                 4.1058,                  0.004,                 0.7619,                0.01242,                0.00444,                  2.588,                 3.7328,                 4.1373,             0.00020542,             0.00020542,             0.00020542
                      6,                 3.3496,                 3.2331,                 4.0171,                  0.004,                 0.7619,                0.01404,                0.00473,                 2.5892,                 3.7354,                 4.1406,             0.00024743,             0.00024743,             0.00024743
                      7,                 3.1423,                 3.0713,                 3.9056,                  0.004,                 0.7619,                0.01375,                0.00447,                 2.5896,                 3.7653,                 4.1306,             0.00028926,             0.00028926,             0.00028926
                      8,                 2.9732,                  3.003,                 3.8015,                  0.004,                 0.7619,                0.00902,                 0.0035,                 2.5773,                 3.7589,                 4.1963,             0.00033093,             0.00033093,             0.00033093
                      9,                 3.0181,                 3.0308,                 3.6789,                  0.004,                 0.7619,                0.01043,                0.00362,                 2.5861,                 3.7526,                 4.2228,             0.00037243,             0.00037243,             0.00037243
                     10,                 2.8542,                 2.9435,                 3.5666,                  0.004,                 0.7619,                0.00998,                0.00369,                 2.5878,                 3.7822,                  4.216,             0.00041375,             0.00041375,             0.00041375
                     11,                 2.7862,                 2.9308,                 3.4892,                  0.004,                 0.7619,                0.01135,                 0.0036,                 2.6294,                 3.8142,                 4.1303,             0.00045491,             0.00045491,             0.00045491
                     12,                 2.8013,                  2.757,                  3.388,                0.00392,                0.74603,                0.01733,                 0.0049,                 2.6932,                 3.3912,                 4.1804,              0.0004959,              0.0004959,              0.0004959
                     13,                 2.7133,                 2.8391,                   3.33,                 0.0035,                0.66667,                0.00821,                0.00267,                 2.7906,                 3.4744,                  4.113,             0.00053672,             0.00053672,             0.00053672
                     14,                  2.677,                 2.8158,                  3.243,                  0.004,                 0.7619,                0.01535,                0.00486,                 2.6511,                  3.851,                 4.1102,             0.00057737,             0.00057737,             0.00057737
                     15,                  2.578,                   2.73,                 3.1549,                  0.004,                 0.7619,                0.07081,                0.02586,                 2.6238,                 3.4366,                 4.1546,             0.00061785,             0.00061785,             0.00061785
                     16,                  2.528,                 2.7548,                 3.1456,                  0.004,                 0.7619,                0.03238,                0.00907,                 2.6404,                 3.3758,                   4.12,             0.00065815,             0.00065815,             0.00065815
                     17,                 2.3986,                 2.5848,                 3.0063,                  0.004,                 0.7619,                0.07782,                0.01848,                 2.6089,                 3.3791,                 4.0949,             0.00069138,             0.00069138,             0.00069138
                     18,                 2.4271,                 2.5484,                 2.9817,                0.02286,                0.44444,                 0.0207,                0.00649,                 2.6044,                 3.7451,                 3.7832,             0.00068997,             0.00068997,             0.00068997
                     19,                 2.3185,                 2.4943,                 2.8364,                0.02957,                0.06349,                0.01702,                0.00561,                 2.4909,                 3.6316,                 3.7664,             0.00068855,             0.00068855,             0.00068855
                     20,                 2.3215,                 2.4707,                  2.819,                0.12785,                0.06349,                0.06552,                0.01983,                 2.4743,                 3.3003,                   3.58,             0.00068714,             0.00068714,             0.00068714
                     21,                 2.2115,                  2.415,                 2.8061,                 0.2337,                0.09524,                0.11333,                0.04155,                 2.2829,                  3.707,                 3.1787,             0.00068573,             0.00068573,             0.00068573
                     22,                 2.2189,                 2.2916,                   2.72,                0.20637,                0.20635,                0.11465,                0.03534,                 2.3765,                 3.0578,                 3.3639,             0.00068431,             0.00068431,             0.00068431
                     23,                 2.1886,                 2.2749,                 2.7299,                0.20379,                0.19048,                0.13013,                0.04997,                  2.486,                 3.0979,                 3.4829,              0.0006829,              0.0006829,              0.0006829
                     24,                 2.1509,                 2.2978,                 2.7026,                0.40656,                0.14286,                0.14792,                0.06194,                 2.3564,                  3.327,                 3.4476,             0.00068148,             0.00068148,             0.00068148
                     25,                 2.1093,                 2.2408,                  2.644,                0.32472,                0.42857,                0.31863,                0.11373,                 2.2688,                 2.7401,                 3.1264,             0.00068007,             0.00068007,             0.00068007
                     26,                 2.1064,                 2.2423,                 2.6355,                0.26023,                0.42857,                0.21084,                0.08525,                 2.0751,                 3.2227,                 2.8951,             0.00067866,             0.00067866,             0.00067866
                     27,                 2.0513,                 2.1872,                 2.5606,                0.13297,                0.28571,                0.13989,                0.04069,                 2.2137,                 3.2873,                 3.1608,             0.00067724,             0.00067724,             0.00067724
                     28,                 2.0671,                 2.1174,                 2.5562,                 0.4074,                0.33333,                0.34086,                 0.1449,                  2.092,                 2.7025,                 2.9117,             0.00067583,             0.00067583,             0.00067583
                     29,                  1.963,                 2.0441,                 2.5004,                0.48225,                0.46032,                0.49737,                0.23077,                 1.7863,                 2.3175,                 2.6461,             0.00067442,             0.00067442,             0.00067442
                     30,                 1.9121,                 2.0088,                 2.4722,                0.37592,                0.45896,                0.37047,                0.15091,                 2.0723,                 2.5507,                 2.9155,               0.000673,               0.000673,               0.000673
                     31,                 1.8892,                 2.0505,                 2.4737,                0.73684,                0.19048,                0.25676,                0.10517,                 2.0326,                  2.787,                 3.0936,             0.00067159,             0.00067159,             0.00067159
                     32,                 1.9532,                 2.0734,                 2.4625,                0.41676,                0.34034,                0.32292,                0.11454,                 2.1365,                  2.616,                  2.918,             0.00067017,             0.00067017,             0.00067017
                     33,                 1.8615,                 1.8875,                  2.393,                0.50117,                0.33333,                0.38482,                0.19873,                 1.8573,                 2.3369,                 2.7911,             0.00066876,             0.00066876,             0.00066876
                     34,                 1.8691,                 1.8337,                 2.3822,                0.57138,                0.47619,                0.49736,                0.25025,                 1.7432,                 2.3499,                 2.5062,             0.00066735,             0.00066735,             0.00066735
                     35,                 1.8234,                 1.8818,                 2.3185,                0.44715,                0.50074,                0.49395,                0.25175,                 1.8241,                 2.0948,                 2.6388,             0.00066593,             0.00066593,             0.00066593
